year_month,month_label,delays,total_delay,max_delay,major_delays
201401,Jan 2014,1783,4587,292,21
201402,Feb 2014,1881,4465,788,14
201403,Mar 2014,1879,3588,167,13
201404,Apr 2014,1616,3569,198,23
201405,May 2014,1599,3057,98,18
201406,Jun 2014,1556,3034,202,17
201407,Jul 2014,1645,3202,106,13
201408,Aug 2014,1713,3111,340,14
201409,Sep 2014,1672,3320,424,19
201410,Oct 2014,1769,3415,247,9
201411,Nov 2014,1624,3005,119,15
201412,Dec 2014,1687,2824,125,13
201501,Jan 2015,1650,3240,103,21
201502,Feb 2015,1870,4981,999,20
201503,Mar 2015,1953,3793,452,16
201504,Apr 2015,1728,2839,342,17
201505,May 2015,1787,2540,82,12
201506,Jun 2015,1673,2695,99,13
201507,Jul 2015,1887,2374,80,12
201508,Aug 2015,1739,2154,38,5
201509,Sep 2015,1898,2850,110,10
201510,Oct 2015,1767,2845,204,15
201511,Nov 2015,1800,2618,64,12
201512,Dec 2015,1722,2570,135,12
201601,Jan 2016,1658,2455,37,7
201602,Feb 2016,1563,2483,50,10
201603,Mar 2016,1750,3233,192,24
201604,Apr 2016,1705,2753,122,17
201605,May 2016,1762,3396,575,15
201606,Jun 2016,1722,3365,200,14
201607,Jul 2016,1811,3248,107,18
201608,Aug 2016,1948,3335,115,17
201609,Sep 2016,1752,3019,133,12
201610,Oct 2016,1739,3437,188,15
201611,Nov 2016,1928,3698,125,17
201612,Dec 2016,1824,3853,325,18
201701,Jan 2017,1522,2556,113,9
201702,Feb 2017,1400,2779,193,13
201703,Mar 2017,1555,2528,76,9
201704,Apr 2017,1479,2852,91,15
201705,May 2017,1634,3601,267,18
201801,Jan 2018,1873,5228,248,29
201901,Jan 2019,1871,4569,174,27
202001,Jan 2020,1339,3857,258,16
202101,Jan 2021,1216,4472,207,33
202201,Jan 2022,1899,7596,315,42
202202,Feb 2022,1623,6211,240,42
202203,Mar 2022,1649,6342,220,40
202204,Apr 2022,1619,6407,388,43
202205,May 2022,1624,5633,125,42
202206,Jun 2022,1644,5878,241,43
202207,Jul 2022,1528,5710,382,40
202208,Aug 2022,1627,6282,451,35
202209,Sep 2022,1689,5392,114,38
202210,Oct 2022,1666,5903,163,39
202211,Nov 2022,1648,5657,199,40
202212,Dec 2022,1679,6095,458,44
202301,Jan 2023,1738,5768,179,39
202302,Feb 2023,1904,5266,309,44
202303,Mar 2023,2105,6359,202,44
202304,Apr 2023,1885,6543,420,47
202305,May 2023,1919,6124,195,52
202306,Jun 2023,1973,6778,268,74
202307,Jul 2023,1852,5795,423,42
202308,Aug 2023,1794,4857,104,33
202309,Sep 2023,1828,5696,167,54
202310,Oct 2023,1866,4955,92,29
202311,Nov 2023,2018,4661,110,36
202312,Dec 2023,2067,5377,139,34
202401,Jan 2024,2259,6352,135,36
202402,Feb 2024,2102,5476,106,37
202403,Mar 2024,2219,6505,491,39
202404,Apr 2024,2248,7119,640,52
202405,May 2024,2384,7126,716,37
202406,Jun 2024,1932,4646,155,34
202407,Jul 2024,2050,5805,340,43
202408,Aug 2024,2323,6591,151,52
202409,Sep 2024,2185,5758,134,39
202410,Oct 2024,2277,6306,257,54
202411,Nov 2024,2143,5603,60,46
202412,Dec 2024,2345,6987,258,52
202501,Jan 2025,2104,6381,360,42
202502,Feb 2025,2268,8766,900,46
202503,Mar 2025,1985,6305,140,53
202504,Apr 2025,2117,6055,202,48
202505,May 2025,2173,5432,143,36
202506,Jun 2025,1940,5117,79,36
202507,Jul 2025,2121,5597,167,52
202508,Aug 2025,2717,5127,138,27
202509,Sep 2025,1811,4179,149,18
202510,Oct 2025,2027,5150,76,41
202511,Nov 2025,2208,6187,480,32
202512,Dec 2025,2242,6458,206,41
202601,Jan 2026,2478,12366,827,57
